,Timestamp,Busy,Finished
0,1674916897.8885443,"[1, 0]",0.0
1,1674916897.8905427,"[1, 1]",0.0
2,1674916900.8965125,"[1, 0]",1.0
3,1674916900.9013553,"[0, 0]",2.0
4,1674916901.5314066,"[1, 0]",2.0
5,1674916901.536417,"[1, 1]",2.0
6,1674916904.5713933,"[1, 0]",3.0
7,1674916904.5794373,"[0, 0]",4.0
8,1674916905.2110152,"[1, 0]",4.0
9,1674916905.2155464,"[1, 1]",4.0
10,1674916908.229404,"[1, 0]",5.0
11,1674916908.233404,"[0, 0]",6.0
12,1674916908.8458834,"[1, 0]",6.0
13,1674916908.847883,"[1, 1]",6.0
14,1674916911.888069,"[0, 1]",7.0
15,1674916911.8962724,"[0, 0]",8.0
16,1674916912.5319283,"[1, 0]",8.0
17,1674916912.5344357,"[1, 1]",8.0
18,1674916915.5624793,"[1, 0]",9.0
19,1674916915.5734527,"[0, 0]",10.0
