,Timestamp,Busy,Finished
0,1674917052.0272458,"[1, 0, 0]",0.0
1,1674917052.0302453,"[1, 1, 0]",0.0
2,1674917052.0322459,"[1, 1, 1]",0.0
3,1674917055.0426633,"[0, 1, 1]",1.0
4,1674917055.0607555,"[0, 0, 1]",2.0
5,1674917055.0723305,"[0, 0, 0]",3.0
6,1674917055.7383485,"[1, 0, 0]",3.0
7,1674917055.7413502,"[1, 1, 0]",3.0
8,1674917055.742352,"[1, 1, 1]",3.0
9,1674917058.7563698,"[0, 1, 1]",4.0
10,1674917058.7741785,"[0, 0, 1]",5.0
11,1674917058.7903802,"[0, 0, 0]",6.0
12,1674917059.4675992,"[1, 0, 0]",6.0
13,1674917059.470599,"[1, 1, 0]",6.0
14,1674917059.4725976,"[1, 1, 1]",6.0
15,1674917062.490321,"[1, 1, 0]",7.0
16,1674917062.5077965,"[0, 1, 0]",8.0
17,1674917062.5242927,"[0, 0, 0]",9.0
18,1674917063.1982992,"[1, 0, 0]",9.0
19,1674917063.200297,"[1, 1, 0]",9.0
20,1674917063.2022994,"[1, 1, 1]",9.0
21,1674917066.21552,"[1, 1, 0]",10.0
22,1674917066.2344387,"[0, 1, 0]",11.0
23,1674917066.2508314,"[0, 0, 0]",12.0
24,1674917066.9074256,"[1, 0, 0]",12.0
25,1674917066.909933,"[1, 1, 0]",12.0
26,1674917066.9119341,"[1, 1, 1]",12.0
27,1674917069.9153917,"[0, 1, 1]",13.0
28,1674917069.9323378,"[0, 0, 1]",14.0
29,1674917069.9482656,"[0, 0, 0]",15.0
