,Timestamp,Busy,Finished
0,1674917080.8492818,"[1, 0, 0]",0.0
1,1674917080.8512802,"[1, 1, 0]",0.0
2,1674917080.8542886,"[1, 1, 1]",0.0
3,1674917083.860494,"[0, 1, 1]",1.0
4,1674917083.8654716,"[0, 0, 1]",2.0
5,1674917083.8684707,"[0, 0, 0]",3.0
6,1674917083.8714714,"[1, 0, 0]",3.0
7,1674917084.4883003,"[1, 1, 0]",3.0
8,1674917084.4903014,"[1, 1, 1]",3.0
9,1674917086.8786194,"[0, 1, 1]",4.0
10,1674917086.8816202,"[1, 1, 1]",4.0
11,1674917087.502263,"[1, 1, 0]",5.0
12,1674917087.5053086,"[1, 0, 0]",6.0
13,1674917087.5093138,"[1, 0, 1]",6.0
14,1674917088.1504815,"[1, 1, 1]",6.0
15,1674917089.8973181,"[0, 1, 1]",7.0
16,1674917089.9002876,"[1, 1, 1]",7.0
17,1674917090.5475626,"[1, 1, 0]",8.0
18,1674917090.5505621,"[1, 1, 1]",8.0
19,1674917091.165986,"[1, 0, 1]",9.0
20,1674917091.1871026,"[1, 1, 1]",9.0
21,1674917092.9365091,"[0, 1, 1]",10.0
22,1674917092.9395115,"[1, 1, 1]",10.0
23,1674917093.5894063,"[1, 1, 0]",11.0
24,1674917093.5924084,"[1, 1, 1]",11.0
25,1674917094.1950579,"[1, 0, 1]",12.0
26,1674917094.2325268,"[1, 1, 1]",12.0
27,1674917095.9706063,"[0, 1, 1]",13.0
28,1674917095.974138,"[1, 1, 1]",13.0
29,1674917096.598254,"[1, 1, 0]",14.0
30,1674917096.6054146,"[1, 1, 1]",14.0
31,1674917097.2652688,"[1, 0, 1]",15.0
32,1674917097.2682683,"[1, 1, 1]",15.0
33,1674917098.9892395,"[0, 1, 1]",16.0
34,1674917098.992242,"[1, 1, 1]",16.0
35,1674917099.611147,"[1, 1, 0]",17.0
36,1674917099.6257546,"[1, 1, 1]",17.0
37,1674917100.2962828,"[1, 0, 1]",18.0
38,1674917102.0243256,"[0, 0, 1]",19.0
39,1674917102.6443412,"[0, 0, 0]",20.0
