,Timestamp,Busy,Finished
0,1674916961.5745258,"[1, 0]",0.0
1,1674916961.576975,"[1, 1]",0.0
2,1674916964.5842898,"[0, 1]",1.0
3,1674916964.5887024,"[1, 1]",1.0
4,1674916964.590711,"[1, 0]",2.0
5,1674916964.5942128,"[1, 0]",2.0
6,1674916965.2603412,"[1, 1]",2.0
7,1674916967.5993607,"[0, 1]",3.0
8,1674916967.6023622,"[1, 1]",3.0
9,1674916967.6157796,"[0, 1]",4.0
10,1674916968.2495081,"[1, 1]",4.0
11,1674916968.2863176,"[1, 0]",5.0
12,1674916968.2903178,"[1, 1]",5.0
13,1674916970.63267,"[0, 1]",6.0
14,1674916970.6364036,"[1, 1]",6.0
15,1674916971.2734349,"[0, 1]",7.0
16,1674916971.2766016,"[1, 1]",7.0
17,1674916971.3194184,"[1, 0]",8.0
18,1674916971.891368,"[1, 1]",8.0
19,1674916973.6751127,"[0, 1]",9.0
20,1674916973.678148,"[1, 1]",9.0
21,1674916974.294263,"[0, 1]",10.0
22,1674916974.314287,"[1, 1]",10.0
23,1674916974.9186468,"[1, 0]",11.0
24,1674916974.9489706,"[1, 1]",11.0
25,1674916976.7222917,"[0, 1]",12.0
26,1674916976.725397,"[1, 1]",12.0
27,1674916977.3443363,"[0, 1]",13.0
28,1674916977.3712292,"[1, 1]",13.0
29,1674916977.981425,"[1, 0]",14.0
30,1674916977.9924445,"[1, 1]",14.0
31,1674916979.7691476,"[0, 1]",15.0
32,1674916979.7721176,"[1, 1]",15.0
33,1674916980.4069266,"[0, 1]",16.0
34,1674916980.4099276,"[1, 1]",16.0
35,1674916980.9996607,"[1, 0]",17.0
36,1674916981.0353477,"[1, 1]",17.0
37,1674916982.7904532,"[0, 1]",18.0
38,1674916983.4264655,"[0, 1]",19.0
39,1674916984.065422,"[0, 0]",20.0
