,Timestamp,Busy,Finished
0,1674917199.7860863,"[1, 0, 0, 0]",0.0
1,1674917199.788085,"[1, 1, 0, 0]",0.0
2,1674917199.7905943,"[1, 1, 1, 0]",0.0
3,1674917199.7935944,"[1, 1, 1, 1]",0.0
4,1674917202.8070424,"[1, 1, 0, 1]",1.0
5,1674917202.828048,"[1, 0, 0, 1]",2.0
6,1674917202.8399887,"[0, 0, 0, 1]",3.0
7,1674917202.8489928,"[0, 0, 0, 0]",4.0
8,1674917203.4942718,"[1, 0, 0, 0]",4.0
9,1674917203.4972773,"[1, 1, 0, 0]",4.0
10,1674917203.499276,"[1, 1, 1, 0]",4.0
11,1674917203.5022767,"[1, 1, 1, 1]",4.0
12,1674917206.5114603,"[1, 1, 1, 0]",5.0
13,1674917206.5234656,"[1, 0, 1, 0]",6.0
14,1674917206.5374618,"[1, 0, 0, 0]",7.0
15,1674917206.5494218,"[0, 0, 0, 0]",8.0
16,1674917207.2056382,"[1, 0, 0, 0]",8.0
17,1674917207.2086384,"[1, 1, 0, 0]",8.0
18,1674917207.2116377,"[1, 1, 1, 0]",8.0
19,1674917207.2136385,"[1, 1, 1, 1]",8.0
20,1674917210.2251284,"[0, 1, 1, 1]",9.0
21,1674917210.2391276,"[0, 1, 1, 0]",10.0
22,1674917210.2501256,"[0, 0, 1, 0]",11.0
23,1674917210.2570827,"[0, 0, 0, 0]",12.0
24,1674917210.923253,"[1, 0, 0, 0]",12.0
25,1674917210.9262524,"[1, 1, 0, 0]",12.0
26,1674917210.927254,"[1, 1, 0, 0]",12.0
27,1674917210.9292533,"[1, 1, 0, 0]",12.0
28,1674917213.9430318,"[1, 0, 0, 0]",13.0
29,1674917213.9610324,"[1, 0, 0, 0]",14.0
30,1674917213.973008,"[1, 0, 0, 0]",15.0
31,1674917213.984015,"[0, 0, 0, 0]",16.0
32,1674917214.6252823,"[1, 0, 0, 0]",16.0
33,1674917214.6292825,"[1, 1, 0, 0]",16.0
34,1674917214.6312833,"[1, 1, 1, 0]",16.0
35,1674917214.6332834,"[1, 1, 1, 1]",16.0
36,1674917217.6365018,"[1, 1, 0, 1]",17.0
37,1674917217.6525278,"[1, 1, 0, 0]",18.0
38,1674917217.655531,"[1, 0, 0, 0]",19.0
39,1674917217.659504,"[0, 0, 0, 0]",20.0
