,Timestamp,Busy,Finished
0,1674916833.7624233,[1],0.0
1,1674916836.7724266,[0],1.0
2,1674916836.7768242,[1],1.0
3,1674916836.7788243,[1],1.0
4,1674916836.7808256,[1],1.0
5,1674916839.8182502,[0],2.0
6,1674916839.8222473,[1],2.0
7,1674916839.8243446,[0],3.0
8,1674916839.827476,[0],4.0
9,1674916840.472853,[1],4.0
10,1674916842.8405569,[0],5.0
11,1674916842.8441267,[1],5.0
12,1674916842.8456964,[1],5.0
13,1674916843.4912572,[0],6.0
14,1674916843.521566,[1],6.0
15,1674916845.8854744,[0],7.0
16,1674916845.888509,[1],7.0
17,1674916845.8904781,[0],8.0
18,1674916846.5333996,[1],8.0
19,1674916846.5384307,[0],9.0
20,1674916846.5414302,[1],9.0
21,1674916848.9195173,[0],10.0
22,1674916848.922518,[1],10.0
23,1674916849.5543268,[0],11.0
24,1674916849.563486,[1],11.0
25,1674916849.569605,[0],12.0
26,1674916850.216933,[1],12.0
27,1674916851.9585204,[0],13.0
28,1674916851.961522,[1],13.0
29,1674916852.5963333,[0],14.0
30,1674916852.5993319,[1],14.0
31,1674916853.2343044,[0],15.0
32,1674916853.2373133,[1],15.0
33,1674916854.993702,[0],16.0
34,1674916854.9968562,[1],16.0
35,1674916855.6326578,[0],17.0
36,1674916855.6367579,[1],17.0
37,1674916856.2735348,[0],18.0
38,1674916858.037598,[0],19.0
39,1674916858.6765642,[0],20.0
