,Timestamp,Busy,Finished
0,1674917142.1674607,"[1, 0, 0, 0]",0.0
1,1674917142.170459,"[1, 1, 0, 0]",0.0
2,1674917145.1792536,"[1, 0, 0, 0]",1.0
3,1674917145.199663,"[0, 0, 0, 0]",2.0
4,1674917145.8965924,"[1, 0, 0, 0]",2.0
5,1674917145.899594,"[1, 1, 0, 0]",2.0
6,1674917148.9111013,"[0, 1, 0, 0]",3.0
7,1674917148.9402804,"[0, 0, 0, 0]",4.0
8,1674917149.6043515,"[1, 0, 0, 0]",4.0
9,1674917149.608905,"[1, 1, 0, 0]",4.0
10,1674917152.618718,"[1, 0, 0, 0]",5.0
11,1674917152.6345863,"[0, 0, 0, 0]",6.0
12,1674917153.3158271,"[1, 0, 0, 0]",6.0
13,1674917153.3178313,"[1, 1, 0, 0]",6.0
14,1674917156.3483083,"[1, 0, 0, 0]",7.0
15,1674917156.3643389,"[0, 0, 0, 0]",8.0
16,1674917157.0223024,"[1, 0, 0, 0]",8.0
17,1674917157.0258512,"[1, 1, 0, 0]",8.0
18,1674917160.0556831,"[0, 1, 0, 0]",9.0
19,1674917160.0588567,"[0, 0, 0, 0]",10.0
