,Timestamp,Busy,Finished
0,1674916798.0313303,[1],0.0
1,1674916801.0614083,[0],1.0
2,1674916801.0665276,[1],1.0
3,1674916801.0695274,[1],1.0
4,1674916804.0833976,[0],2.0
5,1674916804.0865214,[1],2.0
6,1674916804.0991035,[0],3.0
7,1674916804.691432,[1],3.0
8,1674916807.096385,[0],4.0
9,1674916807.0993848,[1],4.0
10,1674916807.724346,[0],5.0
11,1674916807.7274265,[1],5.0
12,1674916810.1152916,[0],6.0
13,1674916810.1192613,[1],6.0
14,1674916810.7707524,[0],7.0
15,1674916810.774232,[1],7.0
16,1674916813.160271,[0],8.0
17,1674916813.163808,[1],8.0
18,1674916813.7974231,[0],9.0
19,1674916813.8004239,[1],9.0
20,1674916816.1959693,[0],10.0
21,1674916816.1989973,[1],10.0
22,1674916816.8386714,[0],11.0
23,1674916816.841669,[1],11.0
24,1674916819.2383368,[0],12.0
25,1674916819.2423375,[1],12.0
26,1674916819.8623393,[0],13.0
27,1674916819.8654504,[1],13.0
28,1674916822.259912,[0],14.0
29,1674916822.8976367,[0],15.0
