,Timestamp,Busy,Finished
0,1674917170.991078,"[1, 0, 0, 0]",0.0
1,1674917170.9930766,"[1, 1, 0, 0]",0.0
2,1674917170.9950774,"[1, 1, 1, 0]",0.0
3,1674917174.0134013,"[1, 1, 0, 0]",1.0
4,1674917174.0334415,"[0, 1, 0, 0]",2.0
5,1674917174.0414214,"[0, 0, 0, 0]",3.0
6,1674917174.6896489,"[1, 0, 0, 0]",3.0
7,1674917174.695649,"[1, 1, 0, 0]",3.0
8,1674917174.6986494,"[1, 1, 1, 0]",3.0
9,1674917177.7036521,"[1, 1, 0, 0]",4.0
10,1674917177.7075553,"[1, 0, 0, 0]",5.0
11,1674917177.7195563,"[0, 0, 0, 0]",6.0
12,1674917178.3735795,"[1, 0, 0, 0]",6.0
13,1674917178.375579,"[1, 1, 0, 0]",6.0
14,1674917178.3993282,"[1, 1, 1, 0]",6.0
15,1674917181.41398,"[1, 0, 1, 0]",7.0
16,1674917181.429978,"[0, 0, 1, 0]",8.0
17,1674917181.4459558,"[0, 0, 0, 0]",9.0
18,1674917182.121625,"[1, 0, 0, 0]",9.0
19,1674917182.1246252,"[1, 1, 0, 0]",9.0
20,1674917182.1332123,"[1, 1, 1, 0]",9.0
21,1674917185.1338956,"[1, 0, 1, 0]",10.0
22,1674917185.1488864,"[0, 0, 1, 0]",11.0
23,1674917185.1649003,"[0, 0, 0, 0]",12.0
24,1674917185.8161504,"[1, 0, 0, 0]",12.0
25,1674917185.8181508,"[1, 1, 0, 0]",12.0
26,1674917185.821151,"[1, 1, 1, 0]",12.0
27,1674917188.8269608,"[0, 1, 1, 0]",13.0
28,1674917188.8459094,"[0, 1, 0, 0]",14.0
29,1674917188.8589356,"[0, 0, 0, 0]",15.0
