,Timestamp,Busy,Finished
0,1674916926.4446378,"[1, 0]",0.0
1,1674916926.4476426,"[1, 1]",0.0
2,1674916929.4525025,"[0, 1]",1.0
3,1674916929.457517,"[0, 0]",2.0
4,1674916929.4605155,"[1, 0]",2.0
5,1674916930.081373,"[1, 1]",2.0
6,1674916932.4779618,"[0, 1]",3.0
7,1674916932.4809625,"[1, 1]",3.0
8,1674916933.1183417,"[1, 0]",4.0
9,1674916933.1213412,"[1, 1]",4.0
10,1674916935.5118353,"[0, 1]",5.0
11,1674916935.5149422,"[1, 1]",5.0
12,1674916936.135718,"[1, 0]",6.0
13,1674916936.1482298,"[1, 1]",6.0
14,1674916938.5582318,"[0, 1]",7.0
15,1674916938.5612302,"[1, 1]",7.0
16,1674916939.1642685,"[1, 0]",8.0
17,1674916939.18737,"[1, 1]",8.0
18,1674916941.57844,"[0, 1]",9.0
19,1674916941.581439,"[1, 1]",9.0
20,1674916942.2146845,"[1, 0]",10.0
21,1674916942.218088,"[1, 1]",10.0
22,1674916944.5944178,"[0, 1]",11.0
23,1674916944.597971,"[1, 1]",11.0
24,1674916945.2615926,"[1, 0]",12.0
25,1674916945.2647502,"[1, 1]",12.0
26,1674916947.62857,"[0, 1]",13.0
27,1674916947.6315706,"[1, 1]",13.0
28,1674916948.2965171,"[1, 0]",14.0
29,1674916950.6646454,"[0, 0]",15.0
